1,0
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,0
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,0
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,0
214,1
215,0
216,1
217,0
218,1
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,0
266,1
267,0
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,1
276,1
277,1
278,0
279,0
280,0
281,1
